dem_soc_singadult_acs5yr_2012,0.0
dem_soc_singadult_acs5yr_2017,0.0
dem_soc_singadult_acs5yr_diff,0.0
dem_soc_vet_acs5yr_2012,0.0
dem_soc_vet_acs5yr_2017,0.0
dem_soc_vet_acs5yr_diff,0.0
econ_labor_incineq_acs5yr_2012,0.0
econ_labor_incineq_acs5yr_2017,0.0
econ_labor_incineq_acs5yr_diff,0.0
econ_labor_topskill_acs5yr_2012,0.0
econ_labor_topskill_acs5yr_2017,0.0
econ_labor_topskill_acs5yr_diff,0.0
econ_labor_midskill_acs5yr_2012,0.0
econ_labor_midskill_acs5yr_2017,0.0
econ_labor_midskill_acs5yr_diff,0.0
econ_labor_unskill_acs5yr_2012,0.0
econ_labor_unskill_acs5yr_2017,0.0
econ_labor_unskill_acs5yr_diff,0.0
econ_labor_medinc_acs5yr_2012,0.0
econ_labor_medinc_acs5yr_2017,0.0
econ_labor_pov_pop_census_share,0.0
econ_sn_cashasst_acs5yr_2012,0.0
econ_sn_cashasst_acs5yr_2017,0.0
econ_sn_cashasst_acs5yr_diff,0.0
hou_mkt_rentshare_acs5yr_2012,0.0
hou_mkt_rentshare_acs5yr_2017,0.0
hou_mkt_rentshare_acs5yr_diff,0.0
hou_mkt_rentvacancy_acs5yr_2012,0.0
hou_mkt_rentvacancy_acs5yr_2017,0.0
dem_soc_singparent_acs5yr_diff,0.0
dem_soc_singparent_acs5yr_2017,0.0
dem_soc_singparent_acs5yr_2012,0.0
dem_soc_other_census_share,0.0
dem_pop_child_census_share,0.0
dem_pop_female_census_share,0.0
dem_pop_male_census_share,0.0
dem_pop_mig_census_share,0.0
dem_pop_senior_census_share,0.0
dem_age_boom_census_2011,0.0
dem_soc_asian_census_share,0.0
dem_soc_black_census_share,0.0
dem_soc_hispanic_census_share,0.0
dem_soc_native_census_share,0.0
dem_soc_pacific_census_share,0.0
dem_soc_racetwo_census_share,0.0
dem_soc_white_census_share,0.0
dem_health_mhlth_chr_share_2017,0.0
dem_soc_ed_lesshs_acs5yr_diff,0.0
dem_health_excesdrink_chr_2017,0.0
dem_health_alcdeath_IMHE_2015,0.0
dem_mort_lifeexp_IMHE_2015,0.0
dem_health_ins_acs5yr_2017,0.0
dem_soc_ed_bach_acs5yr_2012,0.0
dem_soc_ed_bach_acs5yr_2017,0.0
dem_soc_ed_bach_acs5yr_diff,0.0
dem_soc_ed_somecoll_acs5yr_2012,0.0
dem_soc_ed_somecoll_acs5yr_2017,0.0
dem_soc_ed_hsgrad_acs5yr_2012,0.0
dem_soc_ed_hsgrad_acs5yr_2017,0.0
dem_soc_ed_lesshs_acs5yr_2012,0.0
cocnumber,0.0
rural,0.0
